Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Arab World,ARB,2003,6.04810996563574,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Arab World,ARB,2002,6.13093176307586,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Arab World,ARB,2001,4.62126476719944,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Arab World,ARB,2000,3.77068103116583,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Arab World,ARB,1999,3.61677568295498,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Arab World,ARB,1998,3.45744680851064,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Arab World,ARB,1997,3.74716124148373,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Caribbean small states,CSS,2022,25.9009009009009,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Caribbean small states,CSS,2021,25.8928571428571,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Caribbean small states,CSS,2020,25.503355704698,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Caribbean small states,CSS,2019,22.5950782997763,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Caribbean small states,CSS,2018,21.923937360179,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Caribbean small states,CSS,2017,21.2527964205817,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Caribbean small states,CSS,2016,20.4035874439462,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Caribbean small states,CSS,2015,19.7309417040359,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Caribbean small states,CSS,2014,17.155756207675,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Caribbean small states,CSS,2013,17.0786516853933,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Caribbean small states,CSS,2012,16.1797752808989,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Caribbean small states,CSS,2011,15.8482142857143,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Caribbean small states,CSS,2010,15.2466367713004,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Caribbean small states,CSS,2009,17.3814898419865,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Caribbean small states,CSS,2008,17.4887892376682,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Caribbean small states,CSS,2007,18.0995475113122,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Caribbean small states,CSS,2006,17.2413793103448,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Caribbean small states,CSS,2005,17.8240740740741,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Caribbean small states,CSS,2004,17.8240740740741,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Caribbean small states,CSS,2003,15.9353348729792,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Caribbean small states,CSS,2001,14.6153846153846,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Caribbean small states,CSS,2000,13.2258064516129,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Caribbean small states,CSS,1999,12.9113924050633,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Caribbean small states,CSS,1998,12.0234604105572,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Caribbean small states,CSS,1997,11.5702479338843,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Central Europe and the Baltics,CEB,2022,25.0693802035153,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Central Europe and the Baltics,CEB,2021,24.212962962963,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Central Europe and the Baltics,CEB,2020,24.988431281814,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Central Europe and the Baltics,CEB,2019,23.6927348449792,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Central Europe and the Baltics,CEB,2018,22.7209625173531,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Central Europe and the Baltics,CEB,2017,22.3044886626562,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Central Europe and the Baltics,CEB,2016,19.8924731182796,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Central Europe and the Baltics,CEB,2015,20.1164874551971,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Central Europe and the Baltics,CEB,2014,19.7050938337802,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Central Europe and the Baltics,CEB,2013,19.2102015631427,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Central Europe and the Baltics,CEB,2012,19.2671881432688,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Central Europe and the Baltics,CEB,2011,18.4333759046403,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Central Europe and the Baltics,CEB,2010,17.0276008492569,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Central Europe and the Baltics,CEB,2009,17.0700636942675,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Central Europe and the Baltics,CEB,2008,16.8152866242038,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Central Europe and the Baltics,CEB,2007,16.8438962143769,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Central Europe and the Baltics,CEB,2006,17.0991067630795,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Central Europe and the Baltics,CEB,2005,16.7234042553192,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Central Europe and the Baltics,CEB,2004,17.14164185453,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Central Europe and the Baltics,CEB,2003,16.2675101671938,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Central Europe and the Baltics,CEB,2002,16.1167512690355,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Central Europe and the Baltics,CEB,2001,15.5668358714044,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Central Europe and the Baltics,CEB,2000,12.9600829445308,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Central Europe and the Baltics,CEB,1999,11.4824335904027,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Central Europe and the Baltics,CEB,1998,10.968294772922,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Central Europe and the Baltics,CEB,1997,11.4824335904027,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,EAR,EAR,2022,24.8616711994748,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,EAR,EAR,2021,24.279359430605,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,EAR,EAR,2020,24.4509129399312,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,EAR,EAR,2019,22.948551664505,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,EAR,EAR,2018,22.7895939532431,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,EAR,EAR,2017,22.305376344086,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,EAR,EAR,2016,22.3453212885631,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,EAR,EAR,2015,22.1625127397387,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,EAR,EAR,2014,21.0731795896132,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,EAR,EAR,2013,20.0692707331153,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,EAR,EAR,2012,19.2942010994857,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,EAR,EAR,2011,17.5577970186557,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,EAR,EAR,2010,17.4212084276511,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,EAR,EAR,2009,16.9882437404649,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,EAR,EAR,2008,15.5450936951906,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,EAR,EAR,2007,14.7212039359444,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,EAR,EAR,2006,13.4315670161519,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,EAR,EAR,2005,12.8868828297716,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,EAR,EAR,2004,12.145948072384,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,EAR,EAR,2003,11.2659115966723,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,EAR,EAR,2002,11.0885504794134,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,EAR,EAR,2001,9.52161913523459,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,EAR,EAR,2000,9.67302452316076,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,EAR,EAR,1999,8.80897791721974,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,EAR,EAR,1998,8.84310618066561,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,EAR,EAR,1997,8.33144411698028,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific,EAS,2022,21.9275879653238,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific,EAS,2021,21.3844850538545,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific,EAS,2020,21.3300492610837,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific,EAS,2019,20.5038149448952,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific,EAS,2018,20.2357071213641,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific,EAS,2017,19.810606060606,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific,EAS,2016,19.4261880687563,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific,EAS,2015,19.2873741285825,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific,EAS,2014,18.5955127392572,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific,EAS,2013,18.8274254875506,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific,EAS,2012,17.8567039449428,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific,EAS,2011,17.6986775429489,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific,EAS,2010,17.7694235588972,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific,EAS,2009,18.3339871845168,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific,EAS,2008,17.9584866001051,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific,EAS,2007,17.7502307793749,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific,EAS,2006,17.2857917570499,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific,EAS,2005,16.9089021541656,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific,EAS,2004,16.6253425551351,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific,EAS,2003,16.0696008188332,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific,EAS,2002,17.2167587228883,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific,EAS,2001,16.5537270087125,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific,EAS,2000,16.357597564351,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific,EAS,1999,16.8456071374566,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific,EAS,1998,16.0468319559229,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific (excluding high income),EAP,2022,22.012012012012,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific (excluding high income),EAP,2021,21.5386791118654,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific (excluding high income),EAP,2020,21.5078564220845,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific (excluding high income),EAP,2019,20.8374593294667,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific (excluding high income),EAP,2018,20.6068640447783,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific (excluding high income),EAP,2017,20.1099064310114,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific (excluding high income),EAP,2016,19.8510796723753,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific (excluding high income),EAP,2015,19.7146759751101,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific (excluding high income),EAP,2014,19.0178571428572,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific (excluding high income),EAP,2013,19.2726231386025,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific (excluding high income),EAP,2012,18.1948629645573,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific (excluding high income),EAP,2011,17.8854752632338,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific (excluding high income),EAP,2010,17.8964353821329,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific (excluding high income),EAP,2009,18.5070943861814,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific (excluding high income),EAP,2008,18.2508916111025,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific (excluding high income),EAP,2007,17.9878523594456,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific (excluding high income),EAP,2006,17.6120842037602,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific (excluding high income),EAP,2005,17.2524449877751,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific (excluding high income),EAP,2004,17.1485696708705,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific (excluding high income),EAP,2003,16.812303390423,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific (excluding high income),EAP,2002,18.1673812926791,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific (excluding high income),EAP,2001,17.5699440447642,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific (excluding high income),EAP,2000,17.2774869109948,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific (excluding high income),EAP,1999,18.5430463576159,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific (excluding high income),EAP,1998,17.5504843211296,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific (IDA & IBRD),TEA,2022,22.4799732977303,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific (IDA & IBRD),TEA,2021,21.927221614868,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific (IDA & IBRD),TEA,2020,21.9014196841601,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific (IDA & IBRD),TEA,2019,21.1529448523668,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific (IDA & IBRD),TEA,2018,21.0586505472962,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific (IDA & IBRD),TEA,2017,20.5111294311624,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific (IDA & IBRD),TEA,2016,20.2083677856789,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific (IDA & IBRD),TEA,2015,20.064178348252,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific (IDA & IBRD),TEA,2014,19.2828816920027,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific (IDA & IBRD),TEA,2013,19.632678910703,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific (IDA & IBRD),TEA,2012,18.4285714285714,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific (IDA & IBRD),TEA,2011,18.0874840357599,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific (IDA & IBRD),TEA,2010,18.1034482758621,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific (IDA & IBRD),TEA,2009,18.7962166809974,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific (IDA & IBRD),TEA,2008,17.9757785467128,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific (IDA & IBRD),TEA,2007,17.6808066759388,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific (IDA & IBRD),TEA,2006,17.2488296723082,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific (IDA & IBRD),TEA,2005,16.868085106383,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific (IDA & IBRD),TEA,2004,16.7495285444883,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific (IDA & IBRD),TEA,2003,16.812303390423,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific (IDA & IBRD),TEA,2002,17.8749111584933,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific (IDA & IBRD),TEA,2001,17.203723594701,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific (IDA & IBRD),TEA,2000,16.9216589861751,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific (IDA & IBRD),TEA,1999,18.2504719949654,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific (IDA & IBRD),TEA,1998,17.1707856879381,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Euro area,EMU,2022,34.2117758784426,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Euro area,EMU,2021,34.5971563981043,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Euro area,EMU,2020,33.8555858310627,
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Euro area,EMU,2019,33.3711949114039,
